City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Inhambane,MZ,-23.865,35.3833,73.81,67,0,7.72,clear sky
79,Saint-Philippe,RE,-21.3585,55.7679,67.59,74,40,7.45,scattered clouds
80,Kyshtovka,RU,56.555,76.6271,9.27,94,99,7.96,overcast clouds
81,Wanning,CN,18.8003,110.3967,75.81,92,34,4.83,scattered clouds
82,Tiksi,RU,71.6872,128.8694,-22.04,99,87,5.28,overcast clouds
83,Port Alfred,ZA,-33.5906,26.891,63.18,93,64,2.1,broken clouds
84,Komsomolets,KZ,53.7453,62.0708,12.58,82,63,2.8,broken clouds
85,Katsuura,JP,35.1333,140.3,56.23,71,44,14.45,scattered clouds
86,Narsaq,GL,60.9167,-46.05,25.02,89,86,4.34,overcast clouds
87,Airai,TL,-8.9266,125.4092,61.23,89,100,1.41,overcast clouds
88,Pisco,PE,-13.7,-76.2167,73.45,60,0,18.41,clear sky
89,Puerto Ayora,EC,-0.7393,-90.3518,76.96,90,75,8.01,broken clouds
90,Hilo,US,19.7297,-155.09,80.33,71,40,6.91,scattered clouds
91,Voznesenye,RU,61.0106,35.4781,34.0,98,100,8.46,light snow
92,Severo-Kurilsk,RU,50.6789,156.125,31.87,68,56,4.9,broken clouds
93,Butaritari,KI,3.0707,172.7902,80.87,78,93,21.41,overcast clouds
94,Husavik,IS,66.0449,-17.3389,42.53,81,100,12.1,overcast clouds
95,Ugoofaaru,MV,5.6667,73.0,80.02,80,48,9.13,scattered clouds
96,Lagos,NG,6.5833,3.75,82.72,81,0,7.18,clear sky
97,Nikolskoye,RU,59.7035,30.7861,31.91,88,100,5.23,overcast clouds
98,Panaci,RO,47.2667,25.3833,38.43,91,100,2.77,overcast clouds
99,Maceio,BR,-9.6658,-35.7353,81.84,74,20,11.5,few clouds
100,Hirara,JP,24.8,125.2833,77.38,75,66,20.22,light rain
101,Kargasok,RU,59.0556,80.8572,0.77,93,96,8.3,overcast clouds
102,Poland,US,44.0606,-70.3937,36.77,97,100,13.8,light rain
103,Mataura,NZ,-46.1927,168.8643,58.48,99,100,0.51,overcast clouds
104,Ribeira Grande,PT,38.5167,-28.7,64.8,77,40,8.05,scattered clouds
105,Waipawa,NZ,-41.4122,175.5153,62.82,71,97,2.86,overcast clouds
106,Alice Springs,AU,-23.7,133.8833,60.35,100,100,1.14,overcast clouds
107,Moree,AU,-29.4667,149.85,55.42,46,87,10.2,overcast clouds
108,Sao Filipe,CV,14.8961,-24.4956,77.74,68,38,6.6,scattered clouds
109,Dombarovskiy,RU,50.7587,59.5386,20.25,90,100,6.29,overcast clouds
110,Williston,US,48.147,-103.618,30.94,78,100,7.0,overcast clouds
111,Lingao,CN,19.9103,109.6859,73.96,95,27,9.44,scattered clouds
112,Geraldton,AU,-28.7667,114.6,63.01,59,75,9.22,broken clouds
113,Paragominas,BR,-2.9667,-47.4833,81.81,61,65,3.89,broken clouds
114,Busselton,AU,-33.65,115.3333,60.66,66,92,13.24,overcast clouds
115,Vila Franca Do Campo,PT,37.7167,-25.4333,65.19,91,71,4.36,broken clouds
116,Leningradskiy,RU,69.3833,178.4167,8.22,90,100,6.08,overcast clouds
117,Ano Poroia,GR,41.2833,23.0333,53.71,82,99,0.76,overcast clouds
118,Kieta,PG,-6.2167,155.6333,81.05,73,100,2.53,overcast clouds
119,Hami,CN,42.8,93.45,35.92,40,100,2.01,overcast clouds
120,Brandfort,ZA,-28.7001,26.4597,63.81,32,61,5.01,broken clouds
