City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Buala,SB,2022-11-13 20:10:58,-8.145,159.5921,80.17,76,67,3.76
68,Hobart,AU,2022-11-13 20:13:23,-42.8794,147.3294,54.05,98,75,4.61
69,Kamenka,RU,2022-11-13 20:13:24,51.3223,42.7678,40.51,72,98,22.01
70,Tuatapere,NZ,2022-11-13 20:13:24,-46.1333,167.6833,52.57,88,67,3.94
71,Geraldton,AU,2022-11-13 20:13:24,-28.7667,114.6,54.01,82,4,8.05
72,Bayanday,RU,2022-11-13 20:13:25,53.0661,105.5139,14.14,93,45,1.12
73,Avarua,CK,2022-11-13 20:13:25,-21.2078,-159.775,75.25,57,20,10.36
74,Butaritari,KI,2022-11-13 20:13:25,3.0707,172.7902,79.81,75,100,13.62
75,Nabire,ID,2022-11-13 20:13:26,-3.3667,135.4833,75.58,93,100,4.0
76,Coffs Harbour,AU,2022-11-13 20:12:26,-30.3,153.1333,73.36,73,40,14.97
77,Kodiak,US,2022-11-13 20:13:01,57.79,-152.4072,38.71,81,100,17.27
78,Aban,RU,2022-11-13 20:13:26,56.67,96.06,33.42,89,100,13.82
79,Port Hardy,CA,2022-11-13 20:13:26,50.6996,-127.4199,44.94,83,86,2.15
80,Antalaha,MG,2022-11-13 20:13:27,-14.9003,50.2788,69.55,88,7,5.75
81,Lieksa,FI,2022-11-13 20:11:51,63.3167,30.0167,31.95,85,9,4.18
82,Burshtyn,UA,2022-11-13 20:13:27,49.2587,24.6278,41.92,90,59,2.84
83,San Patricio,US,2022-11-13 20:13:28,28.017,-97.5169,61.54,53,32,9.66
84,Kashan,IR,2022-11-13 20:13:28,33.9831,51.4364,56.34,51,0,1.79
85,Troitskoye,RU,2022-11-13 20:13:28,52.9821,84.6757,36.57,70,100,18.48
86,Northam,GB,2022-11-13 20:13:29,51.0333,-4.2167,57.61,92,100,12.15
87,General Roca,AR,2022-11-13 20:13:29,-39.0333,-67.5833,75.61,25,10,23.13
88,Cape Town,ZA,2022-11-13 20:09:27,-33.9258,18.4232,65.08,65,0,5.99
89,Khatanga,RU,2022-11-13 20:13:29,71.9667,102.5,-25.1,99,100,6.33
90,Fort Nelson,CA,2022-11-13 20:13:30,58.8053,-122.7002,30.94,66,3,1.99
91,Nioro,GM,2022-11-13 20:14:30,13.35,-15.75,81.73,37,100,4.94
92,Shingu,JP,2022-11-13 20:12:16,33.7333,135.9833,54.28,85,2,6.91
93,Olafsvik,IS,2022-11-13 20:14:30,64.8945,-23.7142,49.84,75,100,30.06
94,Port Lincoln,AU,2022-11-13 20:09:55,-34.7333,135.8667,54.18,74,100,20.92
95,Mataura,NZ,2022-11-13 20:14:31,-46.1927,168.8643,50.76,85,56,4.61
96,Ozu,JP,2022-11-13 20:14:31,33.5,132.55,57.18,86,19,9.98
97,Pevek,RU,2022-11-13 20:14:32,69.7008,170.3133,-17.84,98,80,5.95
98,Xai-Xai,MZ,2022-11-13 20:14:32,-25.0519,33.6442,73.6,93,100,7.56
99,Puerto Ayora,EC,2022-11-13 20:13:46,-0.7393,-90.3518,76.96,73,24,11.83
100,Saldanha,ZA,2022-11-13 20:14:32,-33.0117,17.9442,61.11,85,0,13.27
101,Tura,IN,2022-11-13 20:14:33,25.5198,90.2201,61.48,88,0,4.27
102,Kavieng,PG,2022-11-13 20:14:33,-2.5744,150.7967,82.74,74,100,14.85
103,Batagay,RU,2022-11-13 20:14:33,67.6333,134.6333,-11.69,99,100,0.29
104,Anadyr,RU,2022-11-13 20:14:34,64.75,177.4833,-11.0,76,91,3.53
105,Pochutla,MX,2022-11-13 20:14:34,15.7432,-96.4661,86.83,64,47,6.76
106,Mahebourg,MU,2022-11-13 20:14:34,-20.4081,57.7,71.26,71,0,3.69
107,Hit,IQ,2022-11-13 20:13:31,33.6416,42.8251,66.92,35,0,7.43
108,Faanui,PF,2022-11-13 20:14:35,-16.4833,-151.75,75.2,70,100,3.96
109,Bereda,ES,2022-11-13 20:14:35,43.2686,-7.5406,56.41,99,100,8.43
110,Kopavogur,IS,2022-11-13 20:14:35,64.1123,-21.913,50.85,82,100,35.1
111,Rovaniemi,FI,2022-11-13 20:14:36,66.5,25.7167,31.41,100,100,8.05
112,Lavumisa,SZ,2022-11-13 20:14:36,-27.31,31.892,66.42,86,99,11.18
113,Niksar,TR,2022-11-13 20:14:37,40.5917,36.9517,47.97,89,5,1.59
114,Salalah,OM,2022-11-13 20:11:49,17.0151,54.0924,78.89,73,20,2.3
115,Sao Filipe,CV,2022-11-13 20:14:37,14.8961,-24.4956,77.52,74,92,9.8
116,Casa Nova,BR,2022-11-13 20:14:38,-9.4167,-41.1333,90.66,37,11,7.85
117,Vao,NC,2022-11-13 20:14:38,-22.6667,167.4833,74.17,79,6,14.45
118,Puerto Escondido,MX,2022-11-13 20:10:11,15.85,-97.0667,84.58,70,33,7.18
119,Ratchaburi,TH,2022-11-13 20:14:38,13.5833,99.5333,77.22,78,100,1.66
120,Odweyne,SO,2022-11-13 20:14:39,9.4092,45.064,68.43,35,2,9.46
121,Maunabo,PR,2022-11-13 20:14:39,18.0072,-65.8993,85.46,87,38,8.48
122,Isangel,VU,2022-11-13 20:14:40,-19.55,169.2667,79.18,78,0,5.97
123,Chuy,UY,2022-11-13 20:14:40,-33.6971,-53.4616,70.93,85,100,10.94
124,Cayenne,GF,2022-11-13 20:14:41,4.9333,-52.3333,82.44,78,40,5.75
125,Deer Lake,CA,2022-11-13 20:14:41,49.1667,-57.4316,30.13,96,99,1.79
126,Sandwick,GB,2022-11-13 20:14:41,60.0,-1.25,51.62,100,100,16.11
127,Fortuna,US,2022-11-13 20:13:56,40.5982,-124.1573,53.92,81,0,1.99
128,Henties Bay,NA,2022-11-13 20:09:51,-22.116,14.2845,59.32,91,0,7.87
129,New Norfolk,AU,2022-11-13 20:14:42,-42.7826,147.0587,53.71,91,100,0.47
130,Solwezi,ZM,2022-11-13 20:14:42,-12.1688,26.3894,61.93,97,96,4.27
131,Klaksvik,FO,2022-11-13 20:14:43,62.2266,-6.589,49.12,96,79,13.6
132,Okulovka,RU,2022-11-13 20:14:43,58.4008,33.2908,37.36,76,100,9.62
133,Caronport,CA,2022-11-13 20:14:43,50.4501,-105.8179,15.66,88,55,2.01
